clickstreams_with_purchase,,customer_id,date,time,page_viewed,product_id,ordered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1.4364E+18,7/16/18,14:37:44,HOMEPAGE,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1.4364E+18,7/16/18,14:40:44,PRODUCTSIMPLESKU,2.054E+17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1.4364E+18,7/16/18,14:42:39,PRODUCTSIMPLESKU,9.2203E+18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1.4364E+18,7/16/18,14:42:53,PRODUCTSIMPLESKU,9.2203E+18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1.4364E+18,7/16/18,14:44:46,KEYWORDSEARCH,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1.4364E+18,7/16/18,14:46:35,PRODUCTSIMPLESKU,4.6219E+18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1.4364E+18,7/16/18,14:46:44,KEYWORDSEARCH,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1.4364E+18,7/16/18,14:49:42,PRODUCTOPTIONSKU,3.4584E+18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1.4364E+18,7/16/18,14:49:46,SUPERBROWSECATEGORY1ATTRIBUTES,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1.4364E+18,7/16/18,14:50:45,SUPERBROWSECATEGORY1ATTRIBUTES,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
